,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34
320,1.0,0,1.0,0.494105,1.0,0.498285,1.0,0.492175,1.0,0.492175,1.0,0.485955,1.0,0.48906499999999997,0.9991399999999999,0.484565,0.9976400000000001,0.48381,0.99657,0.48274,1.0,0.480595,1.0,0.474805,1.0,0.475345,0.9992099999999999,0.472365,0.997,0.46848,0.995285,0.467515,0.994855,0.46666
25,1.0,0,1.0,0.7891,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.18602000000000002,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
190,0.0,0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
255,1.0,0,0.917135,0.695605,0.7702,0.892895,0.56163,0.94701,0.333895,0.91789,0.14956999999999998,0.79782,0.06689,0.609545,0.07779000000000003,0.37918,0.20143,0.19052999999999998,0.40323,0.06106499999999998,0.562195,0.054680000000000006,0.755545,0.13773000000000002,0.895715,0.36133000000000004,0.9150400000000001,0.54359,0.8329599999999999,0.745395,0.68771,0.850055,0.480085,0.89722
99,1.0,0,0.87042,0.52487,0.89537,0.512715,0.892875,0.518965,0.83115,0.54974,0.839005,0.65576,0.87967,0.53674,0.873475,0.54221,0.853405,0.460735,0.818065,0.5,0.850105,0.556775,0.8409150000000001,0.560925,0.83508,0.577225,0.82079,0.56804,0.828535,0.587695,0.7987949999999999,0.573485,0.787275,0.57557
186,1.0,0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5
91,1.0,0,0.922785,0.4571,0.341275,0.09723500000000002,0.455195,0.217825,0.90324,0.52288,0.94757,0.496185,0.40753,0.8198300000000001,0.399905,0.159675,0.928505,0.44328,0.889895,0.421355,0.465205,0.75405,0.32936,0.90467,0.89466,0.48141,0.85441,0.37356,0.88942,0.42945500000000003,0.39322999999999997,0.10915000000000002,0.40753,0.20066499999999998
39,1.0,0,1.0,0.512305,0.99836,0.524305,0.987725,0.5357149999999999,0.808725,0.0,0.9551799999999999,0.555735,0.94231,0.7682,0.910385,0.570685,0.884645,0.575945,1.0,0.705015,0.82925,0.581855,0.80069,0.58258,0.77223,0.58195,0.744335,0.580095,0.717405,0.57718,0.69176,0.573385,1.0,1.0
234,1.0,0,0.843645,1.0,0.959865,0.11956499999999998,0.908865,0.52174,0.8804350000000001,0.55351,0.933945,0.86873,0.8503350000000001,0.591135,0.8795999999999999,0.56856,0.96739,0.37458,0.85368,0.593645,0.824415,0.62291,0.801005,0.8871249999999999,1.0,0.23076999999999998,0.94631,0.61108,0.85535,0.7692300000000001,1.0,0.46738999999999997,0.78261,0.619565
297,1.0,0,0.965735,0.64641,0.8995850000000001,0.77878,0.79976,0.85798,0.631015,0.963255,0.52318,0.9837400000000001,0.383815,0.97565,0.22037,0.90509,0.133355,0.811925,0.04502499999999998,0.681,0.03872999999999999,0.5302,0.031909999999999994,0.40081,0.08404,0.26547,0.17417500000000002,0.15222000000000002,0.293885,0.07137500000000002,0.43205,0.030235000000000012,0.550035,0.02588499999999999
343,1.0,0,0.67673,0.43116,0.846935,0.487885,0.840975,0.48213,0.7785850000000001,0.469405,0.80918,0.447665,0.810495,0.46736500000000003,0.796805,0.463555,0.711355,0.36795500000000003,0.791065,0.52496,0.74868,0.456145,0.731205,0.455055,0.72504,0.49718,0.69573,0.45481,0.67794,0.44847,0.66116,0.45681499999999997,0.644715,0.4585
86,1.0,0,0.837735,0.52264,0.884905,0.44717,0.88679,0.51887,0.83019,0.47736,0.82264,0.50566,0.83396,0.43019,0.860375,0.48868,0.884905,0.543395,0.809435,0.460375,0.879245,0.38112999999999997,0.86981,0.426415,0.9245300000000001,0.42453,0.8694299999999999,0.470995,0.83396,0.51132,0.932075,0.51887,0.8660399999999999,0.503775
5,1.0,0,0.511685,0.49704,0.45038,0.440255,0.496185,0.44088,0.57353,0.533185,0.51893,0.46849,0.5,0.5,0.47714,0.4223,0.498285,0.44902,0.442125,0.47293,0.50919,0.5183450000000001,0.507595,0.50444,0.517565,0.492325,0.4838,0.546115,0.46070500000000003,0.50366,0.5,0.5,0.499805,0.560055
110,1.0,0,0.829545,0.18560500000000002,0.5,0.5,0.5,0.5,0.8863650000000001,1.0,1.0,0.35985,0.5,0.5,0.5,0.5,0.810605,0.386365,0.920455,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.030305000000000026,0.435605,0.03409000000000001,0.5,0.5,0.5,0.5
66,1.0,0,1.0,0.64023,1.0,0.512385,1.0,0.53882,1.0,0.521585,0.9938100000000001,0.66633,1.0,0.527445,1.0,0.52192,0.97875,0.37701,0.921855,0.45666,1.0,0.52075,0.999665,0.63688,1.0,0.30472,0.98207,0.48913,0.933735,0.6168,0.97289,0.389895,0.901775,0.463355
9,1.0,0,0.49068,0.45770500000000003,0.5,0.5,0.5,0.5,0.55735,0.36595,0.271685,0.30913999999999997,0.5,0.5,0.33172,0.69301,0.31433500000000003,0.57509,0.81864,0.610575,0.5,0.5,0.5,0.5,0.425985,0.49337,0.603225,0.48853,0.5,0.5,0.582975,0.62043,0.45896,0.690325
109,1.0,0,1.0,0.21388000000000001,0.99575,0.133145,0.9475899999999999,0.012749999999999984,1.0,0.32091000000000003,1.0,0.383855,0.81445,0.06799,1.0,0.21232499999999999,1.0,0.10198499999999999,0.8838550000000001,0.05524000000000001,0.983005,0.0,0.8506,0.12552000000000002,0.8097300000000001,0.11548000000000003,0.768885,0.11007,0.9051,0.0,1.0,0.0,0.652225,0.11943999999999999
96,1.0,0,0.95058,0.583035,0.896495,0.686895,0.86495,0.752575,0.7989200000000001,0.864985,0.721515,0.90576,0.6220600000000001,0.937465,0.53219,0.92519,0.43694500000000003,0.9369799999999999,0.356305,0.898085,0.266825,0.82962,0.214325,0.7690250000000001,0.15920499999999999,0.699755,0.14078000000000002,0.629175,0.13815499999999997,0.55609,0.142625,0.472375,0.161505,0.40048
275,1.0,0,0.84074,0.55185,0.885185,0.517285,0.825925,0.54074,0.80494,0.49753000000000003,0.89506,0.55926,0.798765,0.52469,0.812345,0.54815,0.8913599999999999,0.412345,0.869135,0.44568,0.74321,0.5049399999999999,0.80494,0.54074,0.8333349999999999,0.4358,0.818865,0.487745,0.882715,0.51111,0.806175,0.4642,0.7567900000000001,0.476545
185,1.0,0,0.920885,0.7173,0.75,0.8808,0.54958,0.9673,0.31118,0.94093,0.138185,0.805905,0.030590000000000006,0.597045,0.06645499999999999,0.372365,0.18565500000000001,0.17193999999999998,0.374475,0.07173000000000002,0.581225,0.06751000000000001,0.757385,0.16560999999999998,0.874475,0.355485,0.8896850000000001,0.539665,0.820675,0.714135,0.6571750000000001,0.812235,0.49789,0.847045
40,1.0,0,1.0,0.53269,1.0,0.60373,1.0,0.631405,0.965255,0.661065,0.933865,0.695195,0.87737,0.75041,0.897775,0.761605,0.82977,0.8037799999999999,0.788095,0.814995,0.739035,0.835675,0.702765,0.8442000000000001,0.67192,0.86041,0.63856,0.86193,0.59648,0.85341,0.55686,0.86344,0.53495,0.85722
328,1.0,0,1.0,0.757575,0.727275,0.6666650000000001,0.530305,0.68182,0.33948,0.86531,0.272725,0.742425,0.21211999999999998,0.5,0.21211999999999998,0.439395,0.333335,0.257575,0.454545,0.07576,0.742425,0.21211999999999998,0.78788,0.28788,1.0,0.30303,0.864805,0.561655,0.98485,0.78788,0.62121,0.68182,0.545455,0.6666650000000001
267,1.0,0,0.7947,0.195365,0.9271499999999999,0.77649,0.9056299999999999,0.536425,0.783115,0.581125,0.663905,0.62086,0.751655,0.56126,0.819535,0.59934,0.85927,0.713575,0.771525,0.569535,0.82616,0.6390750000000001,0.8443700000000001,0.536425,0.75936,0.633265,0.745065,0.638435,0.73108,0.64287,0.71742,0.64662,0.704105,0.64971
12,1.0,0,1.0,0.41842,1.0,0.44915499999999997,0.999995,0.42401500000000003,1.0,0.403615,0.970275,0.324245,0.978675,0.351075,0.968595,0.32794,0.97243,0.35947,0.950685,0.28308500000000003,0.930215,0.26346,0.914935,0.2439,0.9204,0.26431499999999997,0.88112,0.20815,0.828615,0.15603,0.8435699999999999,0.177315,0.823635,0.16387000000000002
239,1.0,0,0.809285,0.55425,0.85347,0.465325,0.85179,0.50839,0.871365,0.50112,0.855145,0.57886,0.8579399999999999,0.49888,0.8987700000000001,0.533,0.918345,0.417225,0.8433999999999999,0.4547,0.81264,0.49329,0.80481,0.558725,0.856265,0.45246,0.849225,0.491635,0.8165549999999999,0.52405,0.8942950000000001,0.474275,0.826065,0.47651
90,1.0,0,0.941525,0.39002000000000003,1.0,0.6818649999999999,0.912015,0.5960300000000001,0.92543,0.529505,0.95279,0.47854,0.9259649999999999,0.625,0.8894850000000001,0.62661,0.8460300000000001,0.7897000000000001,0.8551500000000001,0.69528,0.86588,0.637875,1.0,0.674355,0.7838,0.760195,0.849055,0.766175,0.904505,0.7929200000000001,0.71513,0.854615,0.7618050000000001,0.7709250000000001
232,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
128,1.0,0,0.5,0.5,0.33164,0.92694,0.5,0.5,0.844345,0.0,0.98539,0.656925,0.36976,0.20394,0.34879499999999997,0.827825,0.9707749999999999,0.581955,0.5,0.5,0.5,0.5,0.409785,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.522235,0.8094049999999999,0.5,0.5
4,1.0,0,1.0,0.487995,0.9707,0.532655,0.96053,0.383725,0.88576,0.418005,0.76399,0.398625,0.782045,0.49644,0.671975,0.362715,0.7646999999999999,0.3911,0.725535,0.410935,0.52991,0.322125,0.511545,0.235605,0.51643,0.17420999999999998,0.56645,0.23397,0.512155,0.189015,0.471465,0.202135,0.47696,0.17151499999999997
309,1.0,0,0.918945,0.71452,0.860565,0.791925,0.728125,0.890575,0.58235,0.91366,0.43494,0.934735,0.269115,0.892485,0.20282499999999998,0.7603500000000001,0.10765000000000002,0.632645,0.07993,0.51964,0.189795,0.343245,0.26294,0.255475,0.31351,0.16102,0.47473,0.18654500000000002,0.57345,0.270445,0.685465,0.304165,0.741595,0.37843499999999997
249,1.0,0,1.0,0.75,1.0,0.625,0.625,1.0,0.584255,0.9559,0.43332,0.90227,0.329465,0.803965,0.28090000000000004,0.68928,0.28168499999999996,0.583545,0.31662,0.50339,0.367615,0.45487500000000003,0.41911,0.43518,0.46109,0.43628,0.489555,0.44879,0.505165,0.46482,0.51112,0.47929,0.511245,0.489915
97,1.0,0,0.98857,0.595245,0.913415,0.731295,0.8588549999999999,0.79366,0.73984,0.9213899999999999,0.657045,0.9632149999999999,0.551445,0.969725,0.43373,0.92145,0.3399,0.9581200000000001,0.23927500000000002,0.897625,0.15863,0.74754,0.11296,0.667685,0.07312000000000002,0.589245,0.08343,0.49321,0.08817000000000003,0.403395,0.163555,0.33169000000000004,0.200285,0.2515
68,1.0,0,1.0,0.83892,0.9065449999999999,0.9101049999999999,0.715095,1.0,0.603095,0.902705,0.28064,1.0,0.104325,0.88546,0.0,0.70134,0.30477,0.20683,0.010465000000000002,0.28589,0.134585,0.118305,0.311645,0.012544999999999973,0.7068300000000001,0.0,0.70889,0.033519999999999994,0.628865,0.0,0.96785,0.32389,0.9940800000000001,0.51723
316,1.0,0,0.947945,0.69643,0.8306450000000001,0.85902,0.647605,0.9541200000000001,0.476065,0.972075,0.27137500000000003,0.923025,0.11170000000000002,0.792555,0.03590500000000002,0.625665,0.03859000000000001,0.423425,0.11968000000000001,0.25798,0.24534499999999998,0.11901499999999998,0.425525,0.05704500000000001,0.607905,0.07148500000000002,0.7661450000000001,0.15703499999999998,0.8742300000000001,0.29672,0.91571,0.464855,0.8843099999999999,0.63963
163,1.0,0,0.926045,0.69626,0.694435,0.88216,0.54429,0.994515,0.286875,0.94372,0.11885499999999999,0.7499,0.034540000000000015,0.55384,0.07050000000000001,0.34478,0.16985,0.22369,0.4037,0.069685,0.64222,0.09752,0.823245,0.32384999999999997,0.88907,0.38338,0.85849,0.606715,0.68915,0.79155,0.5983350000000001,0.831575,0.443925,0.824665
24,1.0,0,1.0,0.46909,1.0,0.51471,1.0,0.474345,1.0,0.491465,1.0,0.44137,0.922465,0.47399,0.96696,0.46701,0.84585,0.463105,0.8286549999999999,0.398165,0.97455,0.34221,0.9042600000000001,0.34173,0.92466,0.32581,0.862645,0.35413,0.86547,0.30712,0.77178,0.36858,0.821035,0.302565
332,1.0,0,0.93789,0.518635,0.949755,0.501715,0.9460500000000001,0.50255,0.931675,0.5,0.975155,0.537265,0.9351050000000001,0.50497,0.931515,0.505755,0.9192549999999999,0.468945,0.92857,0.51242,0.92091,0.508015,0.91743,0.508745,0.8975150000000001,0.47826,0.910555,0.510165,0.90994,0.54348,0.9037850000000001,0.51154,0.90044,0.512205
305,1.0,0,0.76271,0.48305,0.974575,0.542375,0.76271,0.415255,0.65254,0.491525,0.754235,0.432205,0.8220350000000001,0.64407,0.9152549999999999,0.32203499999999996,0.771185,0.508475,0.77966,0.51695,0.79661,0.65254,0.932205,0.525425,0.70339,0.5762700000000001,0.836435,0.49867,0.8305100000000001,0.48305,0.9152549999999999,0.42373,0.881355,0.44915499999999997
111,1.0,0,0.93142,0.59655,0.9046000000000001,0.7057450000000001,0.836015,0.778925,0.772795,0.84981,0.6835249999999999,0.9076649999999999,0.598085,0.928355,0.479695,0.93142,0.413795,0.878925,0.3295,0.828735,0.25900500000000004,0.7804599999999999,0.19885000000000003,0.7049799999999999,0.20383,0.628735,0.18480999999999997,0.54409,0.213795,0.46092,0.22566999999999998,0.400385,0.28544,0.34023000000000003
203,1.0,0,1.0,0.545455,0.977275,0.454545,0.8863650000000001,0.5,1.0,0.5,0.977275,0.5,1.0,0.522725,0.954545,0.477275,1.0,0.5,1.0,0.5,0.93182,0.545455,0.8863650000000001,0.545455,0.954545,0.522725,0.957705,0.514485,0.977275,0.545455,0.93182,0.454545,0.93182,0.522725
143,1.0,0,0.65517,0.448275,0.62069,0.448275,0.60345,0.465515,0.537025,0.472845,0.518245,0.481555,0.508535,0.488085,0.503705,0.49259,0.501405,0.495535,0.50039,0.497385,0.499985,0.498505,0.49986,0.49917,0.499845,0.49955,0.499875,0.49976,0.49991,0.49988,0.49994,0.49994,0.49996,0.49997
272,1.0,0,0.81755,0.47806,0.8826499999999999,0.51484,0.80716,0.68014,0.82679,0.49769,0.821015,0.54157,0.89723,0.28291,0.8625849999999999,0.774825,0.79792,0.569285,0.81755,0.6097,0.816395,0.37298,0.8547549999999999,0.576795,0.823325,0.615475,0.8438749999999999,0.58852,0.808315,0.538105,0.83158,0.599205,0.8452649999999999,0.683605
28,1.0,0,1.0,0.5419,1.0,0.586935,1.0,0.43346,0.9908600000000001,0.8226,1.0,0.73952,1.0,0.7955650000000001,1.0,0.85379,1.0,0.9138850000000001,1.0,0.975495,1.0,1.0,0.99021,1.0,0.9581200000000001,1.0,0.919495,1.0,0.8741099999999999,1.0,0.82179,1.0,0.7623949999999999,1.0
282,1.0,0,0.9698599999999999,0.64041,0.9024300000000001,0.764105,0.790835,0.865755,0.674805,0.902555,0.553985,0.9520150000000001,0.399925,0.9466749999999999,0.30135,0.9108149999999999,0.20582499999999998,0.814335,0.118475,0.70184,0.09369,0.59444,0.09341500000000003,0.47858,0.123635,0.365585,0.183815,0.26781,0.26788999999999996,0.19277,0.368055,0.14582499999999998,0.455315,0.143635
98,1.0,0,0.0,0.0,0.5,0.5,0.75407,0.10748999999999997,0.8029299999999999,0.6644950000000001,0.0,0.29316,0.5,0.5,0.5,0.5,1.0,0.36645,0.68241,0.18241000000000002,0.98534,0.0,0.0,0.0,1.0,0.201955,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5
291,1.0,0,0.799435,0.573445,0.84934,0.43032,0.92561,0.43032,0.904895,0.51224,0.752355,0.514125,0.8371,0.4774,0.9039550000000001,0.43126,0.7570600000000001,0.37759,0.9077200000000001,0.428435,0.851225,0.498115,0.6666650000000001,0.531075,0.780605,0.334275,0.80722,0.415815,0.763655,0.48964,0.769305,0.34369,0.8371,0.38983
142,1.0,0,1.0,0.472355,1.0,0.0,0.75,0.444445,0.680555,0.38889,1.0,0.37144,0.583335,0.444445,1.0,0.3267,1.0,0.305735,1.0,0.28569,0.5,0.375,1.0,0.24833499999999997,1.0,0.36111,1.0,0.21454,1.0,0.36111,1.0,0.18422,1.0,0.170325
157,1.0,0,0.7354499999999999,0.613755,0.71164,0.66799,0.628305,0.738095,0.50926,0.747355,0.48942,0.7698400000000001,0.329365,0.656085,0.29364999999999997,0.6627000000000001,0.24206499999999997,0.53439,0.25,0.44179999999999997,0.425925,0.42725,0.425925,0.309525,0.3836,0.501325,0.51787,0.34130499999999997,0.579365,0.39153499999999997,0.62434,0.378305,0.6335999999999999,0.521165
262,1.0,0,1.0,0.54901,1.0,0.625505,0.99195,0.66522,0.901825,0.7651,0.874885,0.801485,0.7846850000000001,0.85971,0.776555,0.870395,0.64726,0.910965,0.605685,0.8988849999999999,0.548545,0.91081,0.49133,0.89935,0.42428,0.87798,0.385805,0.845935,0.341435,0.80474,0.298545,0.77261,0.285925,0.72267
348,1.0,0,0.9735050000000001,0.49983,0.966035,0.483865,0.975885,0.482845,0.97792,0.51223,0.97062,0.50883,0.962975,0.52344,0.96977,0.492695,0.9741850000000001,0.51002,0.96892,0.506965,0.95703,0.538385,0.94735,0.53074,0.96994,0.515965,0.962445,0.51271,0.9606,0.51121,0.962295,0.50221,0.9634849999999999,0.497115
228,0.0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
105,1.0,0,0.97245,0.25344500000000003,1.0,0.48154,0.99449,0.06474000000000002,0.950415,0.8347100000000001,1.0,0.44948,1.0,0.437535,1.0,0.424915,1.0,0.411595,1.0,0.397545,1.0,0.38273999999999997,1.0,0.367145,1.0,0.35074,1.0,0.33348,1.0,0.315345,1.0,0.2963,1.0,0.276305
264,1.0,0,0.973155,0.58749,0.9547300000000001,0.6657150000000001,0.9254800000000001,0.7498,0.86839,0.81921,0.796075,0.86919,0.74349,0.9180699999999999,0.6522950000000001,0.953325,0.589795,0.9671449999999999,0.496495,0.965545,0.4056,0.946915,0.334885,0.91246,0.26733,0.88241,0.207185,0.8316749999999999,0.16035500000000003,0.76282,0.12339499999999998,0.71244,0.09394999999999998,0.63046
148,1.0,0,0.926355,0.52713,1.0,0.540345,1.0,1.0,0.957365,0.496125,0.918605,0.51938,1.0,0.635765,1.0,1.0,0.906975,0.523255,0.95349,0.55814,1.0,0.75335,1.0,0.0,0.9031,0.51938,1.0,0.8580650000000001,0.92248,0.534885,1.0,0.936585,1.0,1.0
80,1.0,0,1.0,0.46698,1.0,0.814685,1.0,0.547785,1.0,0.6014,1.0,0.0,1.0,0.297205,1.0,0.420745,1.0,0.524475,1.0,0.19230999999999998,1.0,0.367135,1.0,0.0,1.0,0.20978999999999998,1.0,0.09314,1.0,0.0,1.0,0.10722500000000001,1.0,0.25873999999999997
145,1.0,0,0.625,0.583335,0.733335,0.633335,0.59518,0.61983,0.53883,0.599695,0.50535,0.57461,0.488165,0.55094,0.481575,0.531585,0.48117,0.51729,0.48385,0.50766,0.48763,0.501785,0.49137,0.498635,0.494515,0.497305,0.496895,0.49707,0.49853,0.4974,0.499555,0.49796,0.500125,0.498545
85,1.0,0,0.695895,0.468285,0.98732,0.52164,1.0,1.0,0.679105,0.576495,0.77239,0.5653,0.8078350000000001,0.08955000000000002,0.78918,0.83955,0.833955,0.44776,0.73321,0.44216500000000003,0.82787,0.57396,0.916045,0.72761,0.735075,0.58209,0.746545,0.57315,0.662315,0.48694,0.69559,0.567605,0.6720550000000001,0.563775
